host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,room_type,accommodates,beds,price,review_scores_rating,bathrooms_number,number_of_days_booked
within an hour,100,100,Sunset,Entire home/apt,7,4,191,4.76,2,230
within an hour,100,100,Chinatown,Entire home/apt,3,2,65,4.8,1,365
within an hour,96,99,Downtown/Civic Center,Hotel room,4,1,164,4.7,1,223
within an hour,100,88,North Beach,Entire home/apt,3,4,118,4.6,1,239
within an hour,96,99,Downtown/Civic Center,Private room,2,1,215,4,1,365
within an hour,96,99,Downtown/Civic Center,Private room,2,1,225,4.766641295546558,1,365
within an hour,96,99,Downtown/Civic Center,Private room,4,2,255,5,1,365
within an hour,96,99,Downtown/Civic Center,Private room,4,2,245,5,1,365
within an hour,96,99,Downtown/Civic Center,Private room,4,2,179,1,1,359
within an hour,96,99,Downtown/Civic Center,Private room,4,2,179,4.9,1,353
within an hour,96,99,Russian Hill,Private room,4,2,226,5,1,365
within an hour,96,99,Chinatown,Private room,4,2,235,4.766641295546558,1,362
within an hour,96.43234029939234,87.44211994421188,Haight Ashbury,Entire home/apt,8,6,100,4.9,1,244
within a day,100,100,Castro/Upper Market,Entire home/apt,4,2,268,4.73,1,245
within a few hours,88,93,Mission,Entire home/apt,2,1,79,4.766641295546558,1,188
within an hour,100,97,South of Market,Entire home/apt,4,2,168,4.766641295546558,2,8
within a few hours,88,93,Mission,Entire home/apt,3,1,103,3,1,188
within a few hours,100,100,Financial District,Entire home/apt,2,1,127,5,1,101
within a few hours,88,93,Downtown/Civic Center,Entire home/apt,2,1,78,4,1,188
within a few hours,88,93,Downtown/Civic Center,Entire home/apt,2,1,73,4,1,186
within an hour,100,98,Bernal Heights,Private room,2,1.7826360095489384,100,5,1,365
within an hour,96.43234029939234,87.44211994421188,Sunset,Entire home/apt,7,6,700,4.4,3,216
within a day,90,97,Bernal Heights,Private room,2,1,80,4.5,1,232
within a day,90,97,Bernal Heights,Private room,2,2,125,4.59,1,277
within an hour,100,100,Mission,Private room,2,1,79,4.89,1,290
within an hour,100,100,Excelsior,Entire home/apt,4,2,203,5,2,111
within an hour,100,97,South of Market,Entire home/apt,2,1,194,5,1,29
within an hour,100,100,Sunset,Entire home/apt,2,1,108,4.82,1,341
within an hour,100,77,Noe Valley,Entire home/apt,8,6,499,4.97,2,0
within an hour,100,100,Downtown/Civic Center,Entire home/apt,3,2,99,5,1,360
within a few hours,99,68,Russian Hill,Entire home/apt,4,2,185,5,1,365
within an hour,100,97,South of Market,Entire home/apt,2,1,130,4.766641295546558,1,7
within an hour,100,100,Noe Valley,Entire home/apt,3,2,156,4.84,1,100
within an hour,90,90,Castro/Upper Market,Private room,2,1,125,5,1,364
within a day,100,0,Nob Hill,Private room,1,1,47,5,5,0
within an hour,96.43234029939234,87.44211994421188,Excelsior,Private room,3,2,56,4.49,1,195
within an hour,96.43234029939234,87.44211994421188,Bernal Heights,Private room,3,2,51,4.31,1,195
within a few hours,99,68,Russian Hill,Entire home/apt,4,2,800,5,1,365
within an hour,100,100,Castro/Upper Market,Entire home/apt,10,5,170,4.82,2,99
within an hour,96.43234029939234,100,Nob Hill,Entire home/apt,4,1,249,5,1,96
within an hour,100,89,Western Addition,Entire home/apt,4,2,170,4.86,1,222
within an hour,96.43234029939234,96,Downtown/Civic Center,Entire home/apt,4,2,199,5,1,365
within an hour,100,96,Castro/Upper Market,Entire home/apt,4,2,445,5,2,365
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,1,3,100,4.766641295546558,1,365
within a few hours,88,93,Downtown/Civic Center,Entire home/apt,2,1,74,4.766641295546558,1,188
within a few hours,100,38,Financial District,Entire home/apt,2,2,105,4.86,1,137
within an hour,96.43234029939234,100,Excelsior,Entire home/apt,3,1,75,5,1,245
within a few hours,90,96,North Beach,Entire home/apt,2,1,178,5,1,320
within an hour,97,73,Downtown/Civic Center,Private room,4,2,170,4.87,1,361
within an hour,100,100,Sunset,Private room,2,1,103,4.9,1,296
within an hour,100,100,Excelsior,Entire home/apt,6,5,185,4.81,1,276
within an hour,100,98,Noe Valley,Entire home/apt,4,2,161,5,2,107
within an hour,100,100,Chinatown,Entire home/apt,3,2,75,5,1,361
within an hour,96.43234029939234,87.44211994421188,North Beach,Hotel room,4,2,900,5,1,361
within an hour,96.43234029939234,87.44211994421188,North Beach,Hotel room,2,1,900,4.766641295546558,1,361
within an hour,96.43234029939234,87.44211994421188,Mission,Entire home/apt,3,2,95,4.766641295546558,1,336
within a few hours,80,74,Sunset,Entire home/apt,8,4,98,4,1,96
within an hour,100,94,Haight Ashbury,Private room,2,1,196,5,1,191
within an hour,96.43234029939234,87.44211994421188,Financial District,Private room,2,1,65,4.766641295546558,1,365
within an hour,96.43234029939234,87.44211994421188,Financial District,Entire home/apt,4,2,300,4.766641295546558,2,365
within an hour,100,94,Haight Ashbury,Private room,2,2,299,5,1,186
within an hour,100,90,Mission,Entire home/apt,6,3,220,4.89,2,321
within an hour,100,100,Western Addition,Private room,2,1,83,4.94,1,316
within a day,100,63,Sunset,Entire home/apt,4,2,120,4.67,2,245
within an hour,100,90,Mission,Private room,1,1,61,4.95,1,362
within an hour,96.43234029939234,87.44211994421188,Financial District,Entire home/apt,2,1,150,5,1,365
within an hour,100,100,Noe Valley,Entire home/apt,2,1,120,4.7,1,365
within an hour,96.43234029939234,87.44211994421188,Haight Ashbury,Entire home/apt,2,1,105,4.766641295546558,1,365
within an hour,96.43234029939234,87.44211994421188,Bernal Heights,Private room,1,1,80,4.766641295546558,1,365
within an hour,100,100,Nob Hill,Entire home/apt,3,1,95,5,1,361
within an hour,100,100,Nob Hill,Entire home/apt,3,1,95,5,1,364
within an hour,100,100,Chinatown,Entire home/apt,2,1,95,4.75,1,365
within a day,67,33,Richmond,Entire home/apt,6,3,231,4.766641295546558,2,162
within an hour,100,100,Chinatown,Entire home/apt,3,1,95,5,1,361
within an hour,100,100,Chinatown,Entire home/apt,3,2,95,5,1,365
within an hour,100,100,Nob Hill,Entire home/apt,2,1,95,5,1,365
within an hour,100,100,Chinatown,Entire home/apt,2,1,95,4.5,1,361
within an hour,100,100,Chinatown,Entire home/apt,2,1,95,5,1,361
within an hour,100,98,Ocean View,Entire home/apt,2,1,123,4.94,1,290
within a few hours,88,93,Downtown/Civic Center,Entire home/apt,2,1,73,4,1,227
within an hour,100,100,Downtown/Civic Center,Entire home/apt,3,2,95,4.75,1,365
within an hour,96.43234029939234,100,Sunset,Entire home/apt,4,2,400,4.96,2,332
within an hour,100,89,Bernal Heights,Private room,2,1,136,4.98,1,283
within an hour,100,75,Russian Hill,Private room,4,2,366,5,1,207
within an hour,100,100,Parkside,Entire home/apt,9,4,239,4.67,3,210
within an hour,100,75,Russian Hill,Private room,6,3,402,5,1,206
within an hour,100,75,Russian Hill,Private room,4,2,366,4.766641295546558,1,204
within an hour,100,75,Russian Hill,Private room,4,2,366,5,1,204
within an hour,100,75,Russian Hill,Private room,6,3,402,4.95,1,207
within an hour,100,100,Marina,Entire home/apt,6,3,213,4.91,1,30
within an hour,100,96,Sunset,Entire home/apt,4,2,151,4.89,1,61
within an hour,100,100,Nob Hill,Entire home/apt,2,1,95,5,1,359
within an hour,94,95,Haight Ashbury,Entire home/apt,3,3,70,5,1,290
within an hour,100,100,Chinatown,Entire home/apt,2,1,95,4.67,1,361
within a few hours,100,95,Twin Peaks,Entire home/apt,2,1,110,4.92,1,343
within an hour,96.43234029939234,87.44211994421188,Bernal Heights,Entire home/apt,4,2,500,4.766641295546558,1,365
within an hour,100,100,Nob Hill,Entire home/apt,2,1,95,4.8,1,365
within an hour,100,100,Noe Valley,Entire home/apt,6,3,230,4.67,2,110
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,1,1,42,4.766641295546558,1,365
within a day,100,88,Bernal Heights,Entire home/apt,2,1,94,4.88,1,360
within an hour,100,100,Excelsior,Entire home/apt,2,1,120,4.96,1,219
within an hour,100,97,Excelsior,Entire home/apt,5,3,123,4.9,1,365
within an hour,96.43234029939234,87.44211994421188,Financial District,Entire home/apt,5,3,325,1,2,365
within a few hours,80,72,Excelsior,Entire home/apt,4,2,150,5,2,1
within an hour,96.43234029939234,87.44211994421188,Lakeshore,Private room,2,1,89,4.766641295546558,1,365
within an hour,100,100,Noe Valley,Entire home/apt,2,1,240,5,1,33
within an hour,96.43234029939234,87.44211994421188,Bayview,Private room,2,1,78,4.766641295546558,1,365
within an hour,100,100,Nob Hill,Entire home/apt,2,1,96,4.6,1,365
within an hour,100,100,Downtown/Civic Center,Entire home/apt,2,1,95,4.83,1,360
within an hour,96.43234029939234,89,Richmond,Entire home/apt,5,3,260,4.85,1,214
within a day,100,50,Twin Peaks,Entire home/apt,5,3,155,4.63,2,3
within a day,100,0,Western Addition,Private room,2,1,50,4.766641295546558,5,0
within a day,100,0,Mission,Private room,2,1,50,4.766641295546558,5,0
within a day,100,0,Western Addition,Private room,2,1,50,4.766641295546558,5,0
within a day,100,0,Western Addition,Private room,2,1,50,4.766641295546558,5,0
within a day,100,0,Nob Hill,Private room,1,1,47,4.766641295546558,5,0
within a day,100,0,Mission,Private room,2,1,50,4.766641295546558,5,365
within a day,100,0,Nob Hill,Private room,2,1,50,4.766641295546558,5,0
within an hour,100,100,Marina,Entire home/apt,2,1,455,5,1,365
within an hour,100,86,Noe Valley,Entire home/apt,5,3,150,5,1,273
within an hour,96.43234029939234,87.44211994421188,Castro/Upper Market,Entire home/apt,2,2,140,4.33,1,0
within an hour,96.43234029939234,87.44211994421188,Bayview,Private room,1,1,45,4.766641295546558,1,365
within a few hours,99,68,Downtown/Civic Center,Entire home/apt,2,1,119,4.9,1,364
within an hour,100,100,Russian Hill,Entire home/apt,2,1,300,4.86,1,297
within an hour,100,100,Noe Valley,Entire home/apt,2,1,227,4.82,1,276
within an hour,100,99,Ocean View,Private room,2,1,69,4.46,1,365
within an hour,100,95,Pacific Heights,Entire home/apt,2,1,327,4.98,1,216
within an hour,100,97,Downtown/Civic Center,Entire home/apt,4,2,246,2,2,81
within an hour,88,100,Mission,Entire home/apt,3,2,125,4.9,1,365
within an hour,96.43234029939234,87.44211994421188,Lakeshore,Private room,2,1,90,4.766641295546558,1,365
within an hour,100,100,Excelsior,Private room,4,3,275,5,2,9
within an hour,100,57,Haight Ashbury,Entire home/apt,2,1,255,4.9,1,244
within an hour,100,100,Bayview,Private room,1,1,60,5,1,29
within an hour,100,100,Downtown/Civic Center,Shared room,1,1,43,4.61,1,18
within an hour,100,100,Ocean View,Entire home/apt,8,4,300,5,1,7
within an hour,100,97,South of Market,Entire home/apt,2,1,171,4.766641295546558,1,60
within an hour,100,97,South of Market,Entire home/apt,2,1,131,3.5,1,5
within an hour,96.43234029939234,87.44211994421188,Financial District,Private room,2,1,279,4.766641295546558,1,0
within an hour,100,88,Potrero Hill,Entire home/apt,2,2,89,4.25,1,0
within an hour,100,85,Bayview,Entire home/apt,6,3,209,4.97,2,365
within an hour,100,100,North Beach,Entire home/apt,4,3,150,5,1,88
within an hour,96.43234029939234,100,Ocean View,Private room,2,1,90,5,1,149
within an hour,96.43234029939234,87.44211994421188,Russian Hill,Entire home/apt,8,5,325,4.766641295546558,2,365
within a day,100,100,Mission,Entire home/apt,4,1,150,5,1,1
within a day,75,18,Russian Hill,Entire home/apt,6,2,799,5,2,305
within an hour,100,90,Mission,Private room,2,1,131,5,1,363
within an hour,100,100,Western Addition,Private room,3,2,140,4.94,1,363
within an hour,100,75,Pacific Heights,Entire home/apt,2,1,135,4.9,1,250
within an hour,100,100,Excelsior,Entire home/apt,2,1,151,4.88,1,201
within an hour,96.43234029939234,87.44211994421188,Pacific Heights,Private room,2,2,50,4.766641295546558,1,365
within an hour,100,100,Nob Hill,Entire home/apt,4,2,386,4.8,1,85
within an hour,96.43234029939234,87.44211994421188,Marina,Private room,6,3,525,4.766641295546558,2,365
within a day,100,0,Western Addition,Private room,2,1,60,2.5,3,0
within a day,100,0,Mission,Private room,2,1,60,5,3,0
within a day,100,0,Nob Hill,Private room,2,1,50,4.766641295546558,4,365
within a day,100,0,Nob Hill,Private room,2,1.7826360095489384,60,4.766641295546558,5,0
within a day,100,0,Nob Hill,Private room,2,1.7826360095489384,60,4,5,275
within a few hours,100,100,Sunset,Entire home/apt,1,1,112,4.95,1,351
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,2,1.7826360095489384,100,1,1,276
within a day,100,0,Western Addition,Private room,2,1,60,4.766641295546558,3,0
within an hour,100,100,Downtown/Civic Center,Entire home/apt,3,1,95,4.67,1,365
within a day,50,40,Castro/Upper Market,Entire home/apt,4,2,170,4.766641295546558,2,6
within an hour,100,100,Sunset,Private room,4,3,150,4.79,1,286
a few days or more,0,0,South of Market,Private room,1,1,50,4.766641295546558,1,1
within an hour,96.43234029939234,97,Richmond,Entire home/apt,6,3,445,4.93,2,365
within an hour,100,100,Sunset,Entire home/apt,2,1,254,4.91,1,365
within an hour,100,98,Excelsior,Entire home/apt,5,2,107,4.56,1,35
a few days or more,0,0,South of Market,Private room,1,1,40,4.766641295546558,1,130
a few days or more,0,0,South of Market,Shared room,1,1,33,4.766641295546558,1,1
within a few hours,100,80,Bernal Heights,Entire home/apt,1,1,175,4.69,1,187
within a few hours,100,74,Mission,Private room,2,1,124,4.95,1,189
within an hour,100,97,Financial District,Entire home/apt,2,1,308,4.766641295546558,1,365
within an hour,100,100,Western Addition,Entire home/apt,2,1,300,4.94,1,260
within an hour,100,100,Richmond,Entire home/apt,7,4,536,4.19,2,365
within an hour,100,97,Marina,Entire home/apt,4,2,232,4.766641295546558,1,58
within an hour,100,92,Western Addition,Private room,1,1,80,5,1,203
within an hour,100,100,Parkside,Entire home/apt,4,2,156,4.8,1,282
within an hour,100,100,Downtown/Civic Center,Entire home/apt,3,1,95,5,1,365
within an hour,100,100,Downtown/Civic Center,Entire home/apt,6,3,643,5,2,203
within an hour,100,100,Nob Hill,Private room,4,3,514,5,1,114
within an hour,100,95,Ocean View,Private room,2,1,85,4.91,1,365
within an hour,96.43234029939234,87.44211994421188,Parkside,Entire home/apt,4,3,150,4.7,2,187
within a day,100,40,Downtown/Civic Center,Private room,6,3,800,5,2,31
within a day,100,0,Western Addition,Private room,2,1,50,4.766641295546558,5,0
within a day,100,0,Mission,Private room,2,1,50,4.766641295546558,5,0
within a day,100,0,Mission,Private room,2,1,50,4.766641295546558,5,0
within a day,100,0,Nob Hill,Private room,2,1,50,5,4,333
within an hour,100,100,Twin Peaks,Private room,2,1,130,5,1,37
within an hour,96.43234029939234,87.44211994421188,Excelsior,Private room,2,1,83,4.97,1,363
within an hour,96.43234029939234,87.44211994421188,Richmond,Entire home/apt,2,1,149,4.766641295546558,1,365
within an hour,96.43234029939234,0,Nob Hill,Entire home/apt,2,2,175,4.766641295546558,1,186
within an hour,100,97,Downtown/Civic Center,Entire home/apt,2,1,208,4.766641295546558,1,324
within an hour,100,77,Castro/Upper Market,Entire home/apt,4,2,675,5,1,15
within a day,100,0,Mission,Private room,2,1,60,4.766641295546558,3,0
within an hour,96.43234029939234,87.44211994421188,Haight Ashbury,Entire home/apt,2,1,143,4.766641295546558,1,365
within an hour,96.43234029939234,87.44211994421188,Sunset,Private room,1,1,145,4.766641295546558,2,0
within an hour,96.43234029939234,87.44211994421188,South of Market,Private room,1,1,89,4.766641295546558,1,365
within an hour,100,98,Bernal Heights,Private room,2,1,176,4.5,1,365
within an hour,96.43234029939234,87.44211994421188,Russian Hill,Entire home/apt,2,1,75,4.3,1,310
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Entire home/apt,4,1,260,4.766641295546558,1,365
within an hour,100,98,Noe Valley,Private room,1,1,63,4.78,1,365
within an hour,100,100,Bernal Heights,Entire home/apt,3,2,130,5,1,314
within an hour,100,97,Financial District,Entire home/apt,2,1,362,5,1,365
within an hour,100,97,Financial District,Entire home/apt,2,1,334,4.766641295546558,1,365
within an hour,100,100,South of Market,Private room,2,1,200,4.94,1,359
within a few hours,100,91,Western Addition,Private room,1,1,56,5,1,91
within an hour,100,97,Financial District,Entire home/apt,2,1,314,4.766641295546558,1,365
within an hour,96.43234029939234,87.44211994421188,Bernal Heights,Entire home/apt,8,5,385,5,2,274
within an hour,100,100,Western Addition,Entire home/apt,8,5,999,4.73,3,365
within an hour,100,100,Downtown/Civic Center,Entire home/apt,3,2,65,4.67,1,327
within an hour,100,99,Mission,Entire home/apt,2,1,179,4.94,1,293
within an hour,100,100,Downtown/Civic Center,Entire home/apt,3,1,95,5,1,364
within an hour,96.43234029939234,87.44211994421188,Bernal Heights,Private room,6,3,268,4.83,2,365
within an hour,100,77,Haight Ashbury,Entire home/apt,4,2,185,4.95,1,183
within an hour,96.43234029939234,96,Downtown/Civic Center,Entire home/apt,4,2,500,5,2,365
within an hour,100,100,Downtown/Civic Center,Entire home/apt,2,1,95,4.67,1,365
within an hour,96.43234029939234,87.44211994421188,Chinatown,Private room,2,1,135,5,1,0
within an hour,96.43234029939234,87.44211994421188,Chinatown,Private room,2,1,165,3,1,0
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,2,1,115,4.766641295546558,1,0
within an hour,96.43234029939234,87.44211994421188,Chinatown,Private room,2,1,210,4.766641295546558,1,0
within an hour,96.43234029939234,87.44211994421188,Castro/Upper Market,Entire home/apt,5,3,250,5,2,192
within an hour,100,78,Ocean View,Private room,2,1,169,4.766641295546558,1,338
within an hour,100,78,Excelsior,Entire home/apt,4,2,229,5,1,162
within an hour,100,100,Financial District,Private room,2,1,403,5,1,69
within an hour,100,100,Financial District,Private room,2,1,362,5,1,69
within an hour,100,100,Twin Peaks,Private room,2,1,85,4.94,1,295
within a few hours,100,100,Western Addition,Private room,2,1,179,5,1,19
within an hour,96.43234029939234,87.44211994421188,Haight Ashbury,Private room,1,1,50,4.766641295546558,1,365
a few days or more,0,75,Potrero Hill,Entire home/apt,5,2,490,4.94,2,264
within an hour,96.43234029939234,87.44211994421188,Haight Ashbury,Entire home/apt,2,3,160,5,1,214
within an hour,100,100,Excelsior,Private room,2,1,62,4.8,1,276
within an hour,100,100,Excelsior,Private room,2,1,58,4.81,1,284
within an hour,90,94,Downtown/Civic Center,Private room,4,2,550,5,1,365
within an hour,100,85,Richmond,Entire home/apt,4,2,134,5,1,19
within an hour,100,87,Sunset,Entire home/apt,2,1,83,3,1,59
within an hour,96.43234029939234,100,Downtown/Civic Center,Private room,2,1,194,4.5,1,365
within an hour,100,100,Sunset,Entire home/apt,4,2,220,4.93,1,345
within a few hours,88,93,Mission,Entire home/apt,2,1,79,3.67,1,186
within an hour,100,100,Mission,Private room,2,1,103,4.89,1,76
within an hour,100,100,Downtown/Civic Center,Entire home/apt,2,1,65,5,1,365
within an hour,96.43234029939234,96,Bayview,Entire home/apt,6,3,168,4.54,1,278
within an hour,100,100,Richmond,Entire home/apt,10,7,384,4.98,2,258
within an hour,96.43234029939234,87.44211994421188,Western Addition,Private room,1,1,100,4.766641295546558,1,365
within an hour,100,100,Parkside,Entire home/apt,6,3,260,4.9,2,189
within an hour,100,100,Downtown/Civic Center,Private room,2,1,235,3.2,1,21
within an hour,100,100,Downtown/Civic Center,Private room,2,1,239,4.766641295546558,1,33
within an hour,100,100,Downtown/Civic Center,Private room,2,1,283,3,1,21
within an hour,100,100,Downtown/Civic Center,Private room,2,1,313,4.766641295546558,1,16
within an hour,100,100,Downtown/Civic Center,Private room,2,1,423,4,1,15
within an hour,100,100,Parkside,Entire home/apt,6,4,139,4.82,1,199
within an hour,100,97,South of Market,Entire home/apt,2,1,145,4.766641295546558,1,20
within an hour,96.43234029939234,87.44211994421188,Mission,Entire home/apt,4,3,193,5,2,365
within a few hours,93,94,Marina,Entire home/apt,2,1,120,4.85,1,157
within an hour,100,100,Mission,Entire home/apt,7,5,158,5,1,219
within an hour,96.43234029939234,87.44211994421188,Russian Hill,Entire home/apt,4,1,250,4.766641295546558,1,365
within an hour,100,100,Mission,Entire home/apt,2,1,88,4.93,1,300
within an hour,96.43234029939234,100,Downtown/Civic Center,Private room,2,1,155,4.43,1,365
within an hour,96.43234029939234,100,Downtown/Civic Center,Private room,2,1,155,4,1,365
within an hour,100,100,Haight Ashbury,Entire home/apt,4,2,395,5,1,24
within a few hours,93,94,Marina,Entire home/apt,4,2,265,5,2,119
within a few hours,93,94,Marina,Entire home/apt,4,2,275,4.6,1,1
within an hour,100,60,Sunset,Private room,1,1,72,5,1,190
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Entire home/apt,4,1,140,4.766641295546558,1,0
within an hour,100,100,Mission,Entire home/apt,2,1.7826360095489384,110,5,1,276
within an hour,100,99,Sunset,Entire home/apt,6,4,207,4.89,1,286
within an hour,80,67,Marina,Entire home/apt,2,1,95,4.766641295546558,1,365
within an hour,100,97,Financial District,Entire home/apt,2,1,310,4.766641295546558,1,365
within an hour,100,100,South of Market,Entire home/apt,2,1,149,4.89,3,365
within an hour,100,100,Nob Hill,Entire home/apt,4,2,115,3,2,6
within an hour,100,95,Sunset,Entire home/apt,8,4,284,5,2,216
within an hour,100,77,Castro/Upper Market,Entire home/apt,4,2,235,5,1,19
within an hour,100,97,North Beach,Entire home/apt,2,1,182,4.766641295546558,1,88
within an hour,100,97,Financial District,Entire home/apt,2,1,362,4.766641295546558,1,365
within an hour,100,97,Financial District,Entire home/apt,4,2,485,4.766641295546558,2,365
within an hour,100,96,Downtown/Civic Center,Private room,2,1,169,4.17,1,131
within an hour,100,100,South of Market,Entire home/apt,2,1,189,5,3,149
within an hour,100,100,South of Market,Private room,2,2,297,4.8,1,57
within an hour,100,100,South of Market,Entire home/apt,2,1,99,4.78,2,11
within an hour,100,100,South of Market,Entire home/apt,2,1,139,4.73,3,14
within an hour,100,95,Financial District,Private room,2,1,209,4.36,1,45
within an hour,100,100,Russian Hill,Entire home/apt,4,2,110,4.3,2,129
within an hour,100,36,Excelsior,Private room,2,1,46,5,1,178
within an hour,100,100,South of Market,Entire home/apt,2,1,99,4.74,2,13
within an hour,100,100,South of Market,Private room,2,1,99,4.74,2,8
within an hour,100,100,South of Market,Entire home/apt,2,1,99,4.69,2,5
within an hour,100,100,South of Market,Entire home/apt,2,1,99,4.75,2,10
within a day,100,29,Mission,Entire home/apt,4,2,240,5,1,273
within an hour,96.43234029939234,87.44211994421188,South of Market,Private room,2,1,115,4.766641295546558,1,365
within an hour,100,100,Marina,Entire home/apt,2,1,225,5,1,212
within a few hours,100,94,Downtown/Civic Center,Entire home/apt,4,2,228,4.94,1,314
within an hour,96.43234029939234,87.44211994421188,South of Market,Entire home/apt,1,1,500,4.5,1,1
within an hour,100,99,Marina,Private room,2,1,181,4.97,1,196
within a few hours,93,94,Marina,Entire home/apt,3,2,225,5,1,121
within an hour,100,97,Nob Hill,Entire home/apt,2,1,174,5,1,61
within an hour,100,97,Nob Hill,Entire home/apt,2,1,213,4.766641295546558,1,365
within an hour,100,100,Excelsior,Private room,1,1,100,4.98,1,316
within an hour,100,97,South of Market,Entire home/apt,4,2,261,4.766641295546558,2,147
within an hour,100,89,Richmond,Entire home/apt,4,2,312,5,2,200
within an hour,100,99,Richmond,Entire home/apt,2,1,121,4.92,1,331
within an hour,96.43234029939234,87.44211994421188,Ocean View,Private room,1,1,33,5,1,365
within an hour,97,73,Downtown/Civic Center,Entire home/apt,2,1,102,4.77,1,364
within an hour,100,78,Excelsior,Entire home/apt,5,3,299,5,1,338
within a few hours,100,82,Western Addition,Private room,2,1,86,4.96,1,276
within a few hours,100,95,Castro/Upper Market,Entire home/apt,2,1,149,4.97,1,273
within an hour,96.43234029939234,83,North Beach,Entire home/apt,2,1,900,5,1,361
within an hour,96.43234029939234,83,North Beach,Private room,4,2,900,4.766641295546558,1,361
within an hour,100,98,Excelsior,Private room,5,3,60,4.89,1,10
within an hour,100,98,Excelsior,Private room,2,1,41,4.86,1,3
within an hour,100,98,Excelsior,Private room,2,1,50,4.84,1,26
within an hour,100,98,Excelsior,Private room,2,2,40,4.78,1,365
within an hour,90,94,Western Addition,Entire home/apt,3,2,135,4.75,1,324
within an hour,100,100,Bayview,Entire home/apt,5,3,157,4.94,1,203
within an hour,100,88,Sunset,Entire home/apt,2,1,72,4.86,1,28
within a day,100,0,Mission,Private room,2,1,50,4.766641295546558,5,0
within a day,100,0,Western Addition,Private room,2,1,50,4.766641295546558,5,0
within a few hours,80,74,Sunset,Private room,4,1,57,4.766641295546558,1,0
within a few hours,80,74,Sunset,Private room,2,1,55,5,1,276
within an hour,100,93,Mission,Private room,2,1,78,4.84,1,0
within an hour,96.43234029939234,87.44211994421188,Castro/Upper Market,Private room,2,2,65,5,1,365
within an hour,100,97,South of Market,Entire home/apt,2,1,175,5,1,75
within an hour,100,97,South of Market,Entire home/apt,2,1,167,4.766641295546558,1,90
within a few hours,87,63,Russian Hill,Entire home/apt,2,1,72,4.77,1,52
within an hour,96.43234029939234,87.44211994421188,Western Addition,Entire home/apt,4,2,275,4.766641295546558,1,365
within an hour,100,93,Mission,Private room,2,1,75,4.74,2,41
within an hour,100,93,Mission,Private room,2,1,55,4.86,2,45
within an hour,100,93,Mission,Private room,2,1,68,4.77,2,10
within an hour,100,93,Mission,Private room,2,1,80,4.76,1,4
within an hour,100,100,Chinatown,Private room,4,2,188,4.93,1,365
within an hour,100,100,Western Addition,Private room,2,1,59,4.73,1,347
a few days or more,14,50,Pacific Heights,Entire home/apt,2,1,130,5,1,28
within an hour,100,92,South of Market,Private room,1,1,106,4.83,1,303
within a few hours,100,82,Western Addition,Private room,2,1,95,5,1,276
within an hour,100,100,Western Addition,Entire home/apt,2,1,65,4.766641295546558,1,365
within an hour,100,95,Castro/Upper Market,Entire home/apt,2,1,100,5,1,59
within an hour,96.43234029939234,87.44211994421188,Noe Valley,Entire home/apt,2,1,175,4.766641295546558,1,365
within a few hours,90,88,Russian Hill,Private room,1,1,60,5,1,365
within a day,100,100,Nob Hill,Entire home/apt,2,1,95,4.94,1,96
within a day,100,0,Mission,Private room,2,1,50,4.766641295546558,5,0
within a day,100,0,Nob Hill,Private room,1,1,47,4.766641295546558,3,0
within a day,100,0,Mission,Private room,2,1,60,4.766641295546558,3,0
within a day,100,0,Nob Hill,Private room,2,1,50,4.766641295546558,3,0
within a day,100,0,Nob Hill,Private room,2,1.7826360095489384,60,4.766641295546558,5,0
within a day,100,0,Western Addition,Private room,1,1,47,4.766641295546558,3,0
within an hour,100,100,Haight Ashbury,Entire home/apt,6,3,500,5,2,201
within a few hours,100,71,Richmond,Entire home/apt,4,2,165,4.766641295546558,1,268
within an hour,100,100,Excelsior,Private room,1,1,40,4.8,1,97
within an hour,100,81,Twin Peaks,Private room,2,1,60,4.74,1,0
within an hour,96.43234029939234,87.44211994421188,Downtown/Civic Center,Private room,1,2,28,4.4,1,365
within an hour,100,97,South of Market,Entire home/apt,2,1,195,3.67,1,34
within an hour,100,97,South of Market,Entire home/apt,2,1,215,5,1,29
within an hour,100,97,South of Market,Entire home/apt,4,2,153,4.766641295546558,2,0
within an hour,100,97,Financial District,Entire home/apt,2,1,326,5,1,365
within an hour,100,99,Richmond,Entire home/apt,2,1,189,4.97,1,48
within an hour,100,100,Bayview,Entire home/apt,4,2,109,4.08,2,27
within an hour,96.43234029939234,100,Richmond,Private room,1,1,68,4.766641295546558,1,64
within an hour,100,97,Financial District,Entire home/apt,4,2,444,4.766641295546558,2,365
within an hour,96.43234029939234,87.44211994421188,South of Market,Private room,2,1,83,4.766641295546558,1,111
within an hour,100,90,Bernal Heights,Entire home/apt,2,1,227,4.82,1,27
within an hour,96.43234029939234,87.44211994421188,Mission,Entire home/apt,3,2,140,4.766641295546558,1,365
within an hour,96.43234029939234,100,Bernal Heights,Entire home/apt,4,2,350,4.93,2,365
