host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,room_type,accommodates,beds,price,review_scores_rating,bathrooms_number,number_of_days_booked
within an hour,96.43234029939234,100,Haight Ashbury,Entire home/apt,4,3,448,5,2,120
within an hour,100,100,Sunset,Entire home/apt,3,2,89,4.83,1,32
within an hour,100,97,Richmond,Entire home/apt,2,2,89,4.8,1,365
within a few hours,100,70,Mission,Entire home/apt,4,2,400,4.95,1,214
within an hour,100,100,Russian Hill,Entire home/apt,5,4,275,4.79,1,22
within an hour,96.43234029939234,87.44211994421188,Mission,Entire home/apt,6,3,325,4.53,2,365
within an hour,100,98,Mission,Private room,1,1,85,4.65,1,257
within an hour,100,100,Western Addition,Private room,2,1,95,4.91,1,33
within a few hours,100,94,Pacific Heights,Private room,1,1,55,4.78,1.2859279571232707,12
within a few hours,100,96,Noe Valley,Entire home/apt,6,4,511,4.95,2,300
within an hour,100,100,Downtown/Civic Center,Entire home/apt,3,2,81,4.67,1,363
within an hour,100,86,Chinatown,Entire home/apt,6,4,550,4.62,1,0
within an hour,100,95,South of Market,Entire home/apt,2,2,199,4.81,1,0
within a few hours,100,83,Noe Valley,Entire home/apt,2,1,119,5,1,346
within a few hours,100,71,South of Market,Entire home/apt,4,1,99,4.73,1,307
within an hour,100,100,Financial District,Entire home/apt,2,1,99,4.84,1,365
within a day,70,88,Twin Peaks,Entire home/apt,2,1,126,5,1,15
within a few hours,71,92,Excelsior,Private room,5,1,69,4.75,1,186
within a day,50,0,Bernal Heights,Entire home/apt,4,2,99,5,1,212
within an hour,100,57,Bernal Heights,Entire home/apt,3,1,178,4.82,1,55
within an hour,100,100,Lakeshore,Entire home/apt,4,2,199,4.97,1,38
within an hour,100,100,Bernal Heights,Private room,2,1,82,4.81,1,170
within an hour,100,100,Bayview,Private room,2,1,100,4.96,1,365
within a day,100,29,Mission,Entire home/apt,5,2,240,4.81,1,26
within an hour,100,100,Mission,Private room,2,1,82,4.72,1,3
within an hour,100,100,Mission,Entire home/apt,6,2,136,4.83,2,365
within an hour,100,100,Sunset,Entire home/apt,2,1,89,4.71,1,217
within an hour,100,100,Haight Ashbury,Entire home/apt,2,1,165,4.94,1,275
within a few hours,100,100,Mission,Entire home/apt,2,2,175,4.87,1,365
within an hour,100,98,Castro/Upper Market,Entire home/apt,6,3,500,4.93,2,357
within a few hours,100,90,Potrero Hill,Entire home/apt,4,2,441,4.9,2,126
a few days or more,0,0,Mission,Entire home/apt,4,2,180,5,1,365
within an hour,96,98,Twin Peaks,Entire home/apt,2,1,68,4.84,1,365
within an hour,100,100,Richmond,Entire home/apt,2,2,165,4.76,1,213
within an hour,100,100,Parkside,Entire home/apt,2,1,144,4.91,1,365
within a day,100,100,Noe Valley,Entire home/apt,5,1,113,4.72,1,0
within an hour,100,99,Noe Valley,Entire home/apt,2,1,136,4.91,1,51
within a day,100,100,Noe Valley,Entire home/apt,7,3,203,4.87,1,0
within an hour,100,100,Pacific Heights,Entire home/apt,3,2,250,4.84,1,91
within a day,100,100,North Beach,Entire home/apt,6,2,315,4.94,1,316
within an hour,100,100,Russian Hill,Entire home/apt,5,3,395,4.7,1,54
within an hour,82,93,Nob Hill,Entire home/apt,2,1,123,3.63,1,276
within an hour,96.43234029939234,87.44211994421188,Financial District,Private room,2,1,500,4.766641295546558,1.2859279571232707,0
within an hour,96.43234029939234,87.44211994421188,Chinatown,Private room,2,1,600,4.766641295546558,1.2859279571232707,0
within an hour,100,100,Haight Ashbury,Entire home/apt,3,2,225,4.9,1,59
within an hour,100,96,Mission,Entire home/apt,6,4,310,4.77,1,244
within an hour,96.43234029939234,100,Haight Ashbury,Entire home/apt,5,3,175,4.97,1,1
within a day,100,100,Marina,Entire home/apt,3,2,126,4.86,1,88
within an hour,100,86,Mission,Entire home/apt,3,1,450,4.81,1,0
within a few hours,100,70,Twin Peaks,Entire home/apt,8,5,410,4.84,2,144
within a few hours,100,68,Mission,Private room,1,1,72,4.8,1,213
within an hour,100,100,Mission,Private room,2,1,130,4.88,1,112
within an hour,100,100,Castro/Upper Market,Entire home/apt,6,5,473,4.98,2,14
within an hour,96.43234029939234,87.44211994421188,South of Market,Private room,1,2,120,4,3,0
within an hour,96.43234029939234,87.44211994421188,Financial District,Entire home/apt,4,2,350,4,2,365
within an hour,100,100,Castro/Upper Market,Entire home/apt,2,1,395,4.81,1,246
within an hour,96.43234029939234,100,Castro/Upper Market,Entire home/apt,4,2,300,4.9,1,0
a few days or more,40,67,Excelsior,Entire home/apt,6,4,115,4.63,1,365
within an hour,100,86,Western Addition,Entire home/apt,3,2,155,4.96,1,65
within an hour,96.43234029939234,88,South of Market,Entire home/apt,2,1,150,4.94,1,365
within an hour,100,100,Western Addition,Private room,2,1,140,4.94,2,365
within an hour,100,100,Marina,Private room,1,1,69,4.96,1,296
within a day,50,17,Western Addition,Private room,1,1,59,4.67,2,276
within an hour,100,100,Sunset,Entire home/apt,4,1,98,4.53,1,365
within an hour,100,100,Mission,Entire home/apt,4,3,499,4.98,1,365
within an hour,96.43234029939234,87.44211994421188,Pacific Heights,Entire home/apt,3,1,175,4,1,365
within a day,100,75,Western Addition,Entire home/apt,4,4,249,4.62,1,349
within an hour,82,93,Chinatown,Entire home/apt,2,1,133,4.33,1,218
within an hour,100,0,Western Addition,Entire home/apt,2,1,675,4.67,1,2
within an hour,100,100,Mission,Private room,2,1,121,5,1,209
within an hour,96.43234029939234,87.44211994421188,Mission,Private room,2,1,150,4.83,1,28
within a few hours,90,39,Haight Ashbury,Entire home/apt,4,1,120,3.5,1,20
within an hour,96.43234029939234,100,Mission,Entire home/apt,5,3,229,4.78,2,215
